MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:3701966	Gm13271	predicted gene 13271	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:3701968	Gm13272	predicted gene 13272	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3701968	Gm13272	predicted gene 13272	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:3701970	Gm13275	predicted gene 13275	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3701970	Gm13275	predicted gene 13275	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:3701972	Gm13276	predicted gene 13276	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3701972	Gm13276	predicted gene 13276	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:3701974	Gm13277	predicted gene 13277	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3701974	Gm13277	predicted gene 13277	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:3649573	Gm13283	predicted gene 13283	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3649573	Gm13283	predicted gene 13283	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:1917579	Gon4l	gon-4-like (C.elegans)	3		B cell differentiation			IMP	MGI:4829629 	J:163412 	
MGI:2442034	Gpr183	G protein-coupled receptor 183	14		B cell activation involved in immune response			IBA	PTN001201724 	J:265628 	
MGI:2442034	Gpr183	G protein-coupled receptor 183	14		mature B cell differentiation involved in immune response			IMP		J:151077 	
MGI:2442034	Gpr183	G protein-coupled receptor 183	14		positive regulation of B cell proliferation			IDA		J:186017 	
MGI:2442034	Gpr183	G protein-coupled receptor 183	14		positive regulation of B cell proliferation			ISO	P32249 	J:164563 	
MGI:1891751	Gps2	G protein pathway suppressor 2	11		B cell differentiation			IMP		J:240887 	
MGI:103070	H2-Ab1	histocompatibility 2, class II antigen A, beta 1	17		B cell affinity maturation			IDA		J:169911 	
MGI:1333784	Hdac5	histone deacetylase 5	11		B cell activation			TAS		J:113927 	
MGI:1333784	Hdac5	histone deacetylase 5	11		B cell differentiation			TAS		J:113927 	
MGI:1891835	Hdac7	histone deacetylase 7	15		B cell activation			TAS		J:113927 	
MGI:1891835	Hdac7	histone deacetylase 7	15		B cell differentiation			TAS		J:113927 	
MGI:1931221	Hdac9	histone deacetylase 9	12		B cell activation			TAS		J:113927 	
MGI:1931221	Hdac9	histone deacetylase 9	12		B cell differentiation			TAS		J:113927 	
MGI:2671382	hem1	haematopoietic 1	11		B cell differentiation			IMP	MGI:3818728 	J:141377 	
MGI:96086	Hhex	hematopoietically expressed homeobox	19		B cell differentiation	results in the differentiation of B cell		IMP	MGI:2449914 	J:81415 	
MGI:1098219	Hmgb3	high mobility group box 3	X		negative regulation of B cell differentiation			IDA		J:84890 	
MGI:96242	Hspd1	heat shock protein 1 (chaperonin)	1		B cell activation			ISO	P10809 	J:164563 	
MGI:96242	Hspd1	heat shock protein 1 (chaperonin)	1		B cell proliferation			ISO	P10809 	J:164563 	
MGI:96242	Hspd1	heat shock protein 1 (chaperonin)	1		isotype switching to IgG isotypes			ISO	P10809 	J:164563 	
MGI:1354701	Icosl	icos ligand	10		B cell activation			IEA	KW-0075 	J:60000 	
MGI:1354701	Icosl	icos ligand	10		isotype switching			NAS		J:87124 	
MGI:96397	Id2	inhibitor of DNA binding 2	12		negative regulation of B cell differentiation	happens in bone marrow,regulates the differentiation of B cell|happens in spleen,regulates the differentiation of B cell|happens in thymus,regulates the differentiation of B cell		IMP	MGI:2384134 	J:138413 	
MGI:107668	Ifna1	interferon alpha 1	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107668	Ifna1	interferon alpha 1	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:107666	Ifna2	interferon alpha 2	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107666	Ifna2	interferon alpha 2	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:107664	Ifna4	interferon alpha 4	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107664	Ifna4	interferon alpha 4	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:107663	Ifna5	interferon alpha 5	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107663	Ifna5	interferon alpha 5	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:107662	Ifna6	interferon alpha 6	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107662	Ifna6	interferon alpha 6	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:107661	Ifna7	interferon alpha 7	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107661	Ifna7	interferon alpha 7	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:107659	Ifna9	interferon alpha 9	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107659	Ifna9	interferon alpha 9	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:109210	Ifna11	interferon alpha 11	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:109210	Ifna11	interferon alpha 11	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:2676324	Ifna12	interferon alpha 12	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2676324	Ifna12	interferon alpha 12	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:2667155	Ifna13	interferon alpha 13	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2667155	Ifna13	interferon alpha 13	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:3641425	Ifna14	interferon alpha 14	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3641425	Ifna14	interferon alpha 14	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:3649418	Ifna15	interferon alpha 15	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3649418	Ifna15	interferon alpha 15	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:3649260	Ifna16	interferon alpha 16	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:3649260	Ifna16	interferon alpha 16	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:1097683	Ifnab	interferon alpha B	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:1097683	Ifnab	interferon alpha B	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		B cell activation involved in immune response			ISO	P01574 	J:164563 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:107657	Ifnb1	interferon beta 1, fibroblast	4		B cell proliferation			IMP		J:86527 	
MGI:2667156	Ifne	interferon epsilon	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2667156	Ifne	interferon epsilon	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:107656	Ifng	interferon gamma	10		positive regulation of isotype switching to IgG isotypes			IDA		J:84929 	
MGI:2683287	Ifnk	interferon kappa	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2683287	Ifnk	interferon kappa	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:2448469	Ifnz	interferon zeta	4		B cell differentiation			IBA	PTN000914537 	J:265628 	
MGI:2448469	Ifnz	interferon zeta	4		B cell differentiation			IDA		J:81257 	
MGI:2448469	Ifnz	interferon zeta	4		B cell proliferation			IBA	PTN000914537 	J:265628 	
MGI:1346500	Igbp1	immunoglobulin (CD79A) binding protein 1	X		B cell activation			IEA	KW-0075 	J:60000 	
MGI:1354380	Igbp1b	immunoglobulin (CD79A) binding protein 1b	6		B cell activation			IEA	KW-0075 	J:60000 	
MGI:96444	Igha	immunoglobulin heavy constant alpha	12		positive regulation of B cell activation			IBA	PTN001510949 	J:265628 	
