MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1890474	Il21	interleukin 21	3		positive regulation of B cell differentiation			NAS		J:93740 	
MGI:107357	Inpp5d	inositol polyphosphate-5-phosphatase D	1		positive regulation of B cell differentiation			IMP	MGI:2386884 	J:48193 J:60916 	
MGI:2443921	Irf2bp2	interferon regulatory factor 2 binding protein 2	8		immature B cell differentiation			ISO	Q7Z5L9 	J:164563 	
MGI:1915450	Itfg2	integrin alpha FG-GAP repeat containing 2	6		germinal center B cell differentiation			IMP	MGI:4235940 	J:205951 	
MGI:107706	Itm2a	integral membrane protein 2A	X		plasma cell differentiation	happens near spleen		IMP	MGI:5645968 	J:217351 	
MGI:99928	Jak3	Janus kinase 3	8		B cell differentiation			IBA	PTN000700628 	J:265628 	
MGI:99928	Jak3	Janus kinase 3	8		B cell differentiation			IMP		J:112031 	
MGI:96677	Kit	KIT proto-oncogene receptor tyrosine kinase	5		B cell differentiation			IBA	PTN002814378 	J:265628 	
MGI:96677	Kit	KIT proto-oncogene receptor tyrosine kinase	5		immature B cell differentiation			IMP		J:89602 	
MGI:1095413	Lfng	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	5		marginal zone B cell differentiation			IMP		J:146621 	
MGI:96777	Lgals1	lectin, galactose binding, soluble 1	15		plasma cell differentiation	happens in spleen,results in the differentiation of B cell		IDA		J:179160 	
MGI:1928481	Lgals8	lectin, galactose binding, soluble 8	13		plasma cell differentiation	happens in spleen,results in the differentiation of B cell		IDA		J:179160 	
MGI:96891	Lyl1	lymphoblastomic leukemia 1	8		B cell differentiation			IMP		J:116300 	
MGI:2445027	Malt1	MALT1 paracaspase	18		B-1 B cell differentiation			IMP	MGI:3639305 	J:109545 	
MGI:1095404	Mfng	MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	15		marginal zone B cell differentiation			IMP		J:146621 	
MGI:3619065	Mir17	microRNA 17	14		pre-B cell differentiation	results in the differentiation of precursor B cell		IGI	MGI:2676844 MGI:2676872 MGI:3618743 MGI:3629917 MGI:3629918 	J:134861 	
MGI:2676844	Mir18	microRNA 18	14		pre-B cell differentiation	results in the differentiation of precursor B cell		IGI	MGI:2676872 MGI:3618743 MGI:3619065 MGI:3629917 MGI:3629918 	J:134861 	
MGI:3618743	Mir19a	microRNA 19a	14		pre-B cell differentiation	results in the differentiation of precursor B cell		IGI	MGI:2676844 MGI:2676872 MGI:3619065 MGI:3629917 MGI:3629918 	J:134861 	
MGI:3629917	Mir19b-1	microRNA 19b-1	14		pre-B cell differentiation			IGI	MGI:2676844 MGI:2676872 MGI:3618743 MGI:3619065 MGI:3629918 	J:134861 	
MGI:2676872	Mir20a	microRNA 20a	14		pre-B cell differentiation	results in the differentiation of precursor B cell		IGI	MGI:2676844 MGI:3618743 MGI:3619065 MGI:3629917 MGI:3629918 	J:134861 	
MGI:3629918	Mir92-1	microRNA 92-1	14		pre-B cell differentiation	results in the differentiation of precursor B cell		IGI	MGI:2676844 MGI:2676872 MGI:3618743 MGI:3619065 MGI:3629917 	J:134861 	
MGI:2676835	Mir150	microRNA 150	7		regulation of B cell differentiation			IMP	MGI:3763431 	J:127324 	
MGI:101900	Mmp14	matrix metallopeptidase 14 (membrane-inserted)	14		positive regulation of B cell differentiation			IMP		J:173235 	
MGI:88321	Ms4a1	membrane-spanning 4-domains, subfamily A, member 1	19		B cell differentiation			ISO	P11836 	J:164563 	
MGI:101816	Msh2	mutS homolog 2	17		B cell differentiation			IMP	MGI:1858055 	J:48834 	
MGI:97249	Myb	myeloblastosis oncogene	10		B cell differentiation			IMP	MGI:3047076 	J:127324 	
MGI:1926063	Nckap1l	NCK associated protein 1 like	15		positive regulation of B cell differentiation			IMP		J:141377 	
MGI:1921289	Nfam1	Nfat activating molecule with ITAM motif 1	15		B cell differentiation			IMP		J:90684 	
MGI:1921289	Nfam1	Nfat activating molecule with ITAM motif 1	15		regulation of B cell differentiation	regulates the differentiation of B cell		IDA		J:90684 	
MGI:102469	Nfatc1	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 1	18		B-1a B cell differentiation			IMP	MGI:2181762 	J:86543 	
MGI:1922820	Nhej1	non-homologous end joining factor 1	1		B cell differentiation			ISO	Q9H9Q4 	J:164563 	
MGI:1922820	Nhej1	non-homologous end joining factor 1	1		B cell differentiation			ISS	Q9H9Q4 	J:116419 	
MGI:97348	Nkx2-3	NK2 homeobox 3	19		B cell differentiation			IMP	MGI:2448069 	J:82729 	
MGI:97348	Nkx2-3	NK2 homeobox 3	19		plasma cell differentiation			IMP	MGI:2448069 	J:64018 	
MGI:97364	Notch2	notch 2	3		marginal zone B cell differentiation			IMP		J:146621 	
MGI:97383	Ntrk1	neurotrophic tyrosine kinase, receptor, type 1	3		B cell differentiation	results in the differentiation of B cell		IMP	MGI:3505767 	J:93578 	
MGI:1196423	Onecut1	one cut domain, family member 1	9		B cell differentiation	happens in liver		IMP	MGI:2179340 	J:120667 	
MGI:2443003	Pcid2	PCI domain containing 2	8		positive regulation of B cell differentiation			IMP		J:166080 	
MGI:97583	Pik3r1	phosphoinositide-3-kinase regulatory subunit 1	13		B cell differentiation			IMP	MGI:2149414 	J:52576 	
MGI:97616	Plcg2	phospholipase C, gamma 2	8		B cell differentiation			IMP		J:63744 	
MGI:97616	Plcg2	phospholipase C, gamma 2	8		follicular B cell differentiation	results in the differentiation of follicular B cell		IMP	MGI:2386100 	J:86373 	
MGI:1352756	Plcl2	phospholipase C-like 2	17		B-1a B cell differentiation			IMP	MGI:2679632 	J:85960 	
MGI:97365	Pnp	purine-nucleoside phosphorylase	14		positive regulation of B cell differentiation	regulates the differentiation of B cell		IMP	MGI:2386195 	J:62870 	
MGI:1860191	Polm	polymerase (DNA directed), mu	11		B cell differentiation			IMP	MGI:2179233 	J:97782 	
MGI:97588	Pou1f1	POU domain, class 1, transcription factor 1	16		B cell differentiation	happens in bone marrow,results in the differentiation of B cell		IMP	MGI:1856024 	J:110683 	
MGI:101897	Pou2f2	POU domain, class 2, transcription factor 2	7		mature B cell differentiation	happens in spleen,results in the differentiation of mature B cell		IMP	MGI:3028896 	J:4555 	
MGI:1930009	Ppp2r3c	protein phosphatase 2, regulatory subunit B'', gamma	12		positive regulation of B cell differentiation			IBA	PTN000949378 	J:265628 	
MGI:1930009	Ppp2r3c	protein phosphatase 2, regulatory subunit B'', gamma	12		positive regulation of B cell differentiation			IMP	MGI:3759678 	J:100706 	
MGI:99655	Prdm1	PR domain containing 1, with ZNF domain	10		positive regulation of B cell differentiation		PR:Q60636-1	IDA		J:143410 	
MGI:99655	Prdm1	PR domain containing 1, with ZNF domain	10	NOT	positive regulation of B cell differentiation		PR:Q60636-2	IDA		J:143410 	
MGI:104779	Prkdc	protein kinase, DNA activated, catalytic polypeptide	16		B cell lineage commitment	happens in thymus,results in a cell's commitment to B cell|happens in bone marrow,results in a cell's commitment to B cell|happens in spleen,results in a cell's commitment to B cell		IMP	MGI:1857113 	J:31364 	
MGI:104908	Ptk2b	PTK2 protein tyrosine kinase 2 beta	14		marginal zone B cell differentiation			IMP		J:63286 	
MGI:97806	Ptpn2	protein tyrosine phosphatase, non-receptor type 2	18		B cell differentiation			IMP		J:42595 	
MGI:96055	Ptpn6	protein tyrosine phosphatase, non-receptor type 6	6		regulation of B cell differentiation	regulates the differentiation of B cell		IMP	MGI:1856074 	J:42368 	
MGI:97810	Ptprc	protein tyrosine phosphatase, receptor type, C	1		B cell differentiation	is upstream of B cell receptor signaling pathway		IMP		J:131736 	
MGI:97810	Ptprc	protein tyrosine phosphatase, receptor type, C	1		B cell differentiation	happens in small intestine		IMP		J:94797 	
MGI:97810	Ptprc	protein tyrosine phosphatase, receptor type, C	1		B cell differentiation			IMP	MGI:1857277 	J:33466 J:84808 	
MGI:97810	Ptprc	protein tyrosine phosphatase, receptor type, C	1		B cell differentiation	results in the differentiation of B cell		IMP	MGI:2181288 	J:42368 	
MGI:104574	Ptprj	protein tyrosine phosphatase, receptor type, J	2		B cell differentiation	is upstream of B cell receptor signaling pathway		IMP		J:131736 	
MGI:97848	Rag1	recombination activating 1	2		B cell differentiation			IDA		J:76135 	
MGI:97848	Rag1	recombination activating 1	2		B cell differentiation			IMP		J:1934 	
MGI:97848	Rag1	recombination activating 1	2		pre-B cell allelic exclusion			IBA	PTN002610391 	J:265628 	
MGI:97848	Rag1	recombination activating 1	2		pre-B cell allelic exclusion			IMP		J:149451 	
MGI:97849	Rag2	recombination activating gene 2	2		B cell differentiation			IMP		J:1934 J:1935 	
MGI:97849	Rag2	recombination activating gene 2	2		B cell differentiation			IMP	MGI:1858556 	J:121045 	
MGI:97849	Rag2	recombination activating gene 2	2		B cell differentiation	results in the differentiation of B cell		IMP	MGI:1858556 	J:76489 	
MGI:97849	Rag2	recombination activating gene 2	2		B cell lineage commitment	happens in thymus,results in a cell's commitment to B cell|happens in bone marrow,results in a cell's commitment to B cell|happens in spleen,results in a cell's commitment to B cell		IMP	MGI:1858556 	J:31364 	
MGI:97849	Rag2	recombination activating gene 2	2		pre-B cell allelic exclusion			IMP		J:149451 	
MGI:96522	Rbpj	recombination signal binding protein for immunoglobulin kappa J region	5		B cell differentiation			IMP	MGI:3583755 	J:76240 	
MGI:892014	Sfrp1	secreted frizzled-related protein 1	8		negative regulation of B cell differentiation			IMP		J:140742 	
MGI:892014	Sfrp1	secreted frizzled-related protein 1	8		negative regulation of B cell differentiation			ISO	Q8N474 	J:164563 	
MGI:1921998	Slamf8	SLAM family member 8	1		B-1 B cell lineage commitment			IDA		J:266143 	
MGI:1921998	Slamf8	SLAM family member 8	1		regulation of B cell differentiation			IDA		J:266143 	
MGI:1277166	Sp3	trans-acting transcription factor 3	2		B cell differentiation			IMP	MGI:2182438 	J:84837 	
MGI:103036	Stat5a	signal transducer and activator of transcription 5A	11		positive regulation of B cell differentiation	regulates the differentiation of B cell		IGI	MGI:103035 	J:64603 	
MGI:103035	Stat5b	signal transducer and activator of transcription 5B	11		positive regulation of B cell differentiation	regulates the differentiation of B cell		IGI	MGI:103036 	J:64603 	
MGI:99515	Syk	spleen tyrosine kinase	13		positive regulation of B cell differentiation			IBA	PTN000700479 	J:265628 	
MGI:99515	Syk	spleen tyrosine kinase	13		positive regulation of B cell differentiation	happens in bone marrow,regulates the differentiation of B cell|happens in spleen,regulates the differentiation of B cell|happens in peritoneal cavity,regulates the differentiation of B cell		IMP	MGI:1857421 	J:29797 	
MGI:99515	Syk	spleen tyrosine kinase	13		positive regulation of B cell differentiation	happens in liver,regulates the differentiation of B cell		IMP	MGI:2384078 	J:29796 	
MGI:99515	Syk	spleen tyrosine kinase	13		positive regulation of B cell differentiation			ISO	P43405 	J:164563 	
MGI:98510	Tcf3	transcription factor 3	10		B cell lineage commitment			ISO	P15923 	J:164563 	
MGI:1350931	Tcirg1	T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3	19		B cell differentiation			IMP	MGI:1856973 	J:93047 J:111910 	
MGI:1350931	Tcirg1	T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3	19		B cell differentiation			IMP	MGI:3054898 	J:92730 	
MGI:1932389	Tlr9	toll-like receptor 9	9		regulation of B cell differentiation			ISO	Q9NR96 	J:164563 	
MGI:1196377	Tnfaip3	tumor necrosis factor, alpha-induced protein 3	10		marginal zone B cell differentiation			NAS		J:170265 	
MGI:98834	Trp53	transformation related protein 53	11		B cell lineage commitment	happens in thymus,results in a cell's commitment to B cell|happens in bone marrow,results in a cell's commitment to B cell|happens in spleen,results in a cell's commitment to B cell		IMP	MGI:1857590 	J:31364 	
MGI:98849	Tshr	thyroid stimulating hormone receptor	12		B cell differentiation	happens in bone marrow,results in the differentiation of B cell		IMP	MGI:1856914 	J:110683 	
MGI:98970	Xbp1	X-box binding protein 1	11		positive regulation of B cell differentiation			ISO	P17861 	J:164563 	
MGI:98970	Xbp1	X-box binding protein 1	11		positive regulation of plasma cell differentiation			ISO	P17861 	J:164563 	
MGI:2442326	Zbtb1	zinc finger and BTB domain containing 1	12		B cell differentiation	happens in spleen,results in the differentiation of B cell		IMP	MGI:5300200 	J:178820 	
MGI:1335091	Zbtb7a	zinc finger and BTB domain containing 7a	10		B cell differentiation			IMP		J:121576 	
MGI:107946	Zfp36l1	zinc finger protein 36, C3H type-like 1	12		regulation of B cell differentiation			IMP		J:232475 	
MGI:107945	Zfp36l2	zinc finger protein 36, C3H type-like 2	17		regulation of B cell differentiation			IMP		J:232475 	

